banchostats_id,users_irc,users_osu,multiplayer_games,date
324,143,14180,558,2016-06-08 04:14:59
325,144,14195,561,2016-06-08 04:13:45
326,144,14258,566,2016-06-08 04:12:30
327,145,14293,567,2016-06-08 04:11:14
328,145,14289,572,2016-06-08 04:09:58
329,146,14315,579,2016-06-08 04:08:42
330,147,14361,577,2016-06-08 04:07:27
331,148,14399,579,2016-06-08 04:06:09
332,147,14439,577,2016-06-08 04:04:52
333,148,14490,580,2016-06-08 04:03:36
334,148,14559,597,2016-06-08 04:02:19
335,147,14643,596,2016-06-08 04:01:04
336,147,14660,586,2016-06-08 03:59:49
337,147,14650,588,2016-06-08 03:58:31
338,147,14646,584,2016-06-08 03:57:15
339,147,14663,595,2016-06-08 03:55:58
340,147,14669,584,2016-06-08 03:54:42
341,144,14681,580,2016-06-08 03:53:25
342,145,14707,580,2016-06-08 03:52:09
343,145,14717,580,2016-06-08 03:50:52
344,144,14739,582,2016-06-08 03:49:35
345,146,14801,580,2016-06-08 03:48:17
346,145,14850,577,2016-06-08 03:46:59
347,146,14859,582,2016-06-08 03:45:40
348,143,14933,588,2016-06-08 03:44:24
349,143,15004,587,2016-06-08 03:43:06
350,142,15002,589,2016-06-08 03:41:46
351,142,15010,596,2016-06-08 03:40:26
352,142,14998,599,2016-06-08 03:39:06
353,144,15021,596,2016-06-08 03:37:47
354,143,15022,585,2016-06-08 03:36:24
355,142,15018,591,2016-06-08 03:35:01
356,144,14975,594,2016-06-08 03:33:40
357,142,14982,591,2016-06-08 03:32:21
358,143,15017,586,2016-06-08 03:31:02
359,142,15005,575,2016-06-08 03:29:41
360,142,15019,575,2016-06-08 03:28:22
361,141,15064,583,2016-06-08 03:27:03
362,141,15088,586,2016-06-08 03:25:42
363,141,15043,584,2016-06-08 03:24:22
364,141,15013,585,2016-06-08 03:23:04
365,143,15008,586,2016-06-08 03:21:43
366,143,15068,581,2016-06-08 03:20:24
367,143,15099,578,2016-06-08 03:19:04
368,143,15035,584,2016-06-08 03:17:43
369,143,15072,584,2016-06-08 03:16:25
370,142,15047,576,2016-06-08 03:15:03
371,144,14993,571,2016-06-08 03:13:43
372,143,14993,573,2016-06-08 03:12:25
373,141,14988,578,2016-06-08 03:11:07
374,141,14997,588,2016-06-08 03:09:47
375,141,15106,594,2016-06-08 03:08:28
376,140,15121,596,2016-06-08 03:07:10
377,140,15119,584,2016-06-08 03:05:48
378,141,15131,588,2016-06-08 03:04:29
379,140,15087,587,2016-06-08 03:03:12
380,141,15110,587,2016-06-08 03:01:54
381,141,15124,592,2016-06-08 03:00:34
382,140,15134,591,2016-06-08 02:59:15
